Id	Name	Author	Category	PublicationDate	CreationTime	ModificationTime
1	Libro 1	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
2	Libro 2	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
3	Libro 3	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
4	Libro 4	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
5	Libro 5	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
6	Libro 6	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
7	Libro 7	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
8	Libro 8	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
9	Libro 9	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
10	Libro 10	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
11	Libro 11	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
12	Libro 12	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
13	Libro 13	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
14	Libro 14	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
15	Libro 15	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
16	Libro 16	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
17	Libro 17	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
18	Libro 18	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
19	Libro 19	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
20	Libro 20	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
21	Libro 21	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
22	Libro 22	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
23	Libro 23	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
24	Libro 24	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
25	Libro 25	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
26	Libro 26	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
27	Libro 27	Mr Writer	Education	2010-02-24 00:00:00.000	2020-05-20 10:44:06.157	2020-05-20 10:44:06.157
